Country,Region,Rank_2015,Score_2015,GDP_2015,Family_2015,Health_2015,Freedom_2015,Corruption_2015,Generosity_2015,Dystopia_2015,Rank_2019,Score_2019,GDP_2019,Social_2019,Health_2019,Freedom_2019,Corruption_2019,Generosity_2019,Score_Diff,GDP_Diff,Rank_Diff
Zimbabwe,Sub-Saharan Africa,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2.44191,146,3.663,0.366,1.114,0.433,0.361,0.089,0.151,-0.9470000000000005,0.09499999999999997,-31
Liberia,Sub-Saharan Africa,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,2.77729,141,3.975,0.073,0.922,0.443,0.37,0.033,0.233,-0.5959999999999996,0.001799999999999996,-25
India,Southern Asia,117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2.27513,140,4.015,0.755,0.765,0.588,0.498,0.085,0.2,-0.5500000000000007,0.11001000000000005,-23
Haiti,Latin America and Caribbean,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,147,3.597,0.323,0.688,0.449,0.026,0.11,0.419,-0.9209999999999998,0.05626999999999999,-28
Congo (Kinshasa),Sub-Saharan Africa,120,4.517,0.0,1.0012,0.09806,0.22605,0.07625,0.24834,2.86712,127,4.418,0.094,1.125,0.357,0.269,0.053,0.212,-0.0990000000000002,0.094,-7
Nepal,Southern Asia,121,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,1.95637,100,4.913,0.446,1.226,0.677,0.439,0.089,0.285,0.399,0.08603,21
Ethiopia,Sub-Saharan Africa,122,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,134,4.286,0.336,1.033,0.532,0.344,0.1,0.209,-0.22599999999999998,0.14527,-12
Sierra Leone,Sub-Saharan Africa,123,4.507,0.33024,0.95571,0.0,0.4084,0.08786,0.21488,2.51009,129,4.374,0.268,0.841,0.242,0.309,0.045,0.252,-0.133,-0.06223999999999996,-6
Mauritania,Sub-Saharan Africa,124,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2.11773,122,4.49,0.57,1.167,0.489,0.066,0.088,0.106,0.05400000000000027,0.11592999999999998,2
Kenya,Sub-Saharan Africa,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,121,4.509,0.512,0.983,0.581,0.431,0.053,0.372,0.09000000000000075,0.14729000000000003,4
Armenia,Central and Eastern Europe,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,116,4.559,0.85,1.055,0.815,0.283,0.064,0.095,0.20900000000000052,0.08179000000000003,11
Botswana,Sub-Saharan Africa,128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181,148,3.488,1.041,1.145,0.538,0.455,0.1,0.025,-0.8439999999999999,0.04744999999999988,-20
Myanmar,Southeastern Asia,129,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,1.41805,131,4.36,0.71,1.181,0.555,0.525,0.172,0.566,0.052999999999999936,0.43892,-2
Georgia,Central and Eastern Europe,130,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541,119,4.519,0.886,0.666,0.752,0.346,0.164,0.043,0.22200000000000042,0.1441,11
